Sample,Dimension,Sobol,Faure,Uniform
1,1,0.48437500,0.32812500,0.37454011
2,1,0.35937500,0.82812500,0.79654298
3,1,0.85937500,0.20312500,0.95071431
4,1,0.60937500,0.70312500,0.18343479
5,1,0.10937500,0.45312500,0.73199394
6,1,0.07812500,0.95312500,0.77969100
7,1,0.57812500,0.04687500,0.59865849
8,1,0.82812500,0.54687500,0.59685016
9,1,0.32812500,0.29687500,0.15601864
10,1,0.45312500,0.79687500,0.44583276
11,1,0.95312500,0.17187500,0.15599452
12,1,0.70312500,0.67187500,0.09997492
13,1,0.20312500,0.42187500,0.05808361
14,1,0.14062500,0.92187500,0.45924889
15,1,0.64062500,0.10937500,0.86617615
16,1,0.89062500,0.60937500,0.33370861
17,1,0.39062500,0.35937500,0.60111501
18,1,0.26562500,0.85937500,0.14286681
19,1,0.76562500,0.23437500,0.70807258
20,1,0.51562500,0.73437500,0.65088847
21,1,0.01562500,0.48437500,0.02058450
22,1,0.02343750,0.98437500,0.05641158
23,1,0.52343750,0.00781250,0.96990985
24,1,0.77343750,0.50781250,0.72199877
25,1,0.27343750,0.25781250,0.83244264
26,1,0.39843750,0.75781250,0.93855271
27,1,0.89843750,0.13281250,0.21233911
28,1,0.64843750,0.63281250,0.00077876
29,1,0.14843750,0.38281250,0.18182497
30,1,0.21093750,0.88281250,0.99221156
31,1,0.71093750,0.07031250,0.18340451
32,1,0.96093750,0.57031250,0.61748151
33,1,0.46093750,0.32031250,0.30424224
34,1,0.33593750,0.82031250,0.61165316
35,1,0.83593750,0.19531250,0.52475644
36,1,0.58593750,0.69531250,0.00706631
37,1,0.08593750,0.44531250,0.43194502
38,1,0.11718750,0.94531250,0.02306243
39,1,0.61718750,0.03906250,0.29122914
40,1,0.86718750,0.53906250,0.52477466
41,1,0.36718750,0.28906250,0.61185290
42,1,0.49218750,0.78906250,0.39986098
43,1,0.99218750,0.16406250,0.13949386
44,1,0.74218750,0.66406250,0.04666567
45,1,0.24218750,0.41406250,0.29214465
46,1,0.17968750,0.91406250,0.97375552
47,1,0.67968750,0.10156250,0.36636185
48,1,0.92968750,0.60156250,0.23277134
49,1,0.42968750,0.35156250,0.45606999
50,1,0.30468750,0.85156250,0.09060644
51,1,0.80468750,0.22656250,0.78517596
52,1,0.55468750,0.72656250,0.61838601
53,1,0.05468750,0.47656250,0.19967378
54,1,0.03906250,0.97656250,0.38246199
55,1,0.53906250,0.02343750,0.51423444
56,1,0.78906250,0.52343750,0.98323089
57,1,0.28906250,0.27343750,0.59241457
58,1,0.41406250,0.77343750,0.46676290
59,1,0.91406250,0.14843750,0.04645041
60,1,0.66406250,0.64843750,0.85994040
61,1,0.16406250,0.39843750,0.60754485
62,1,0.22656250,0.89843750,0.68030754
63,1,0.72656250,0.08593750,0.17052412
64,1,0.97656250,0.58593750,0.45049925
65,1,0.47656250,0.33593750,0.06505159
66,1,0.35156250,0.83593750,0.01326496
67,1,0.85156250,0.21093750,0.94888553
68,1,0.60156250,0.71093750,0.94220175
69,1,0.10156250,0.46093750,0.96563204
70,1,0.07031250,0.96093750,0.56328821
71,1,0.57031250,0.05468750,0.80839735
72,1,0.82031250,0.55468750,0.38541651
73,1,0.32031250,0.30468750,0.30461377
74,1,0.44531250,0.80468750,0.01596626
75,1,0.94531250,0.17968750,0.09767212
76,1,0.69531250,0.67968750,0.23089382
77,1,0.19531250,0.42968750,0.68423303
78,1,0.13281250,0.92968750,0.24102547
79,1,0.63281250,0.11718750,0.44015249
80,1,0.88281250,0.61718750,0.68326352
81,1,0.38281250,0.36718750,0.12203823
82,1,0.25781250,0.86718750,0.60999666
83,1,0.75781250,0.24218750,0.49517691
84,1,0.50781250,0.74218750,0.83319491
85,1,0.00781250,0.49218750,0.03438852
86,1,0.01171875,0.99218750,0.17336465
87,1,0.51171875,0.00390625,0.90932040
88,1,0.76171875,0.50390625,0.39106061
89,1,0.26171875,0.25390625,0.25877998
90,1,0.38671875,0.75390625,0.18223609
91,1,0.88671875,0.12890625,0.66252228
92,1,0.63671875,0.62890625,0.75536141
93,1,0.13671875,0.37890625,0.31171107
94,1,0.19921875,0.87890625,0.42515588
95,1,0.69921875,0.06640625,0.52006802
96,1,0.94921875,0.56640625,0.20794166
97,1,0.44921875,0.31640625,0.54671028
98,1,0.32421875,0.81640625,0.56770033
99,1,0.82421875,0.19140625,0.18485446
100,1,0.57421875,0.69140625,0.03131329
101,1,0.07421875,0.44140625,0.96958463
102,1,0.10546875,0.94140625,0.84228477
103,1,0.60546875,0.03515625,0.77513283
104,1,0.85546875,0.53515625,0.44975413
105,1,0.35546875,0.28515625,0.93949894
106,1,0.48046875,0.78515625,0.39515023
107,1,0.98046875,0.16015625,0.89482735
108,1,0.73046875,0.66015625,0.92665886
109,1,0.23046875,0.41015625,0.59789998
110,1,0.16796875,0.91015625,0.72727200
111,1,0.66796875,0.09765625,0.92187424
112,1,0.91796875,0.59765625,0.32654077
113,1,0.41796875,0.34765625,0.08849250
